INFO  - 2013-12-17 04:56:41.312; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-12-17 04:56:41.331; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/joao/Downloads/solr-4.6.0/example/contexts at interval 0
INFO  - 2013-12-17 04:56:41.336; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/joao/Downloads/solr-4.6.0/example/contexts/solr-jetty-context.xml
INFO  - 2013-12-17 04:56:41.387; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/joao/Downloads/solr-4.6.0/example/webapps/solr.war!/ to /Users/joao/Downloads/solr-4.6.0/example/solr-webapp/webapp
INFO  - 2013-12-17 04:56:42.667; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-12-17 04:56:42.694; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-12-17 04:56:42.704; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-12-17 04:56:42.704; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-12-17 04:56:42.705; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2013-12-17 04:56:42.813; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/joao/Downloads/solr-4.6.0/example/solr/solr.xml
INFO  - 2013-12-17 04:56:42.914; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2013-12-17 04:56:42.923; org.apache.solr.core.CoreContainer; New CoreContainer 591666987
INFO  - 2013-12-17 04:56:42.924; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2013-12-17 04:56:42.935; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-12-17 04:56:42.935; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-12-17 04:56:42.936; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-12-17 04:56:42.937; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-12-17 04:56:42.938; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-12-17 04:56:42.938; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
